     index            Field [G]         Intensity []
       155     3285.05376344086             -6620920
       156     3285.15151515152             -6443967
       157     3285.24926686217             -6512618
       158     3285.34701857283             -6680775
       159     3285.44477028348             -6643521
       160     3285.54252199413             -6690912
       161     3285.64027370479             -6348018
       162     3285.73802541544             -6281460
       163      3285.8357771261             -6464617
       164     3285.93352883675             -6469700
       165     3286.03128054741             -6606687
       166     3286.12903225806             -6094503
       167     3286.22678396872             -6101209
       168     3286.32453567937             -6384110
       169     3286.42228739003             -6175911
       170     3286.52003910068             -5850151
       171     3286.61779081134             -6137784
       172     3286.71554252199             -6003621
       173     3286.81329423265             -5956043
       174      3286.9110459433             -6226170
       175     3287.00879765396             -6199339
       176     3287.10654936461             -6023437
       177     3287.20430107527             -5777249
       178     3287.30205278592             -5779264
       179     3287.39980449658             -5790578
       180     3287.49755620723             -5856963
       181     3287.59530791789             -6211676
       182     3287.69305962854             -5992948
       183      3287.7908113392             -5699153
       184     3287.88856304985             -5539592
       185     3287.98631476051             -5226388
       186     3288.08406647116             -5435480
       187     3288.18181818182             -6007173
       188     3288.27956989247             -6166969
       189     3288.37732160313             -5653254
       190     3288.47507331378             -5507749
       191     3288.57282502444             -5902262
       192     3288.67057673509             -5948062
       193     3288.76832844575             -5767836
       194      3288.8660801564             -5465220
       195     3288.96383186706             -5389977
       196     3289.06158357771             -5530654
       197     3289.15933528837             -5567272
       198     3289.25708699902             -5942213
       199     3289.35483870968             -5698998
       200     3289.45259042033             -5811611
       201     3289.55034213099             -5618845
       202     3289.64809384164             -5478602
       203      3289.7458455523             -5261923
       204     3289.84359726295             -5307504
       205     3289.94134897361             -5411152
       206     3290.03910068426             -5619724
       207     3290.13685239492             -5807933
       208     3290.23460410557             -5514687
       209     3290.33235581623             -4995577
       210     3290.43010752688             -5010712
       211     3290.52785923754             -5188295
       212     3290.62561094819             -5335589
       213     3290.72336265885             -5309503
       214      3290.8211143695             -5476775
       215     3290.91886608016             -4950134
       216     3291.01661779081             -4818590
       217     3291.11436950147             -4680832
       218     3291.21212121212             -4655641
       219     3291.30987292278             -4655661
       220     3291.40762463343             -4879990
       221     3291.50537634409             -4811721
       222     3291.60312805474             -4980371
       223      3291.7008797654             -4613219
       224     3291.79863147605             -4790706
       225     3291.89638318671             -4906312
       226     3291.99413489736             -5277333
       227     3292.09188660802             -5032947
       228     3292.18963831867             -4529818
       229     3292.28739002933             -4619313
       230     3292.38514173998             -4828734
       231     3292.48289345064             -4826991
       232     3292.58064516129             -4544501
       233     3292.67839687195             -4542530
       234      3292.7761485826             -4915113
       235     3292.87390029326             -4580835
       236     3292.97165200391             -4300283
       237     3293.06940371456             -4354237
       238     3293.16715542522             -4160371
       239     3293.26490713588             -3844541
       240     3293.36265884653             -3586645
       241     3293.46041055718             -4015401
       242     3293.55816226784             -4090421
       243     3293.65591397849             -3739821
       244     3293.75366568915             -3695875
       245      3293.8514173998             -3637145
       246     3293.94916911046             -3560641
       247     3294.04692082111             -3855221
       248     3294.14467253177             -3784598
       249     3294.24242424242             -3771446
       250     3294.34017595308             -3601798
