     index            Field [G]             Time [s]         Intensity []
      1822     3347.90811339198                111.1               -50535
      1823     3348.00586510264                111.1               -46684
      1824     3348.10361681329                111.1               -48470
      1825     3348.20136852395                111.1               -47407
      1826      3348.2991202346                111.1               -48935
      1827     3348.39687194526                111.1               -42897
      1828     3348.49462365591                111.1               -40841
      1829     3348.59237536657                111.1               -45484
      1830     3348.69012707722                111.1               -47937
      1831     3348.78787878788                111.1               -39839
      1832     3348.88563049853                111.1               -41652
      1833     3348.98338220919                111.1               -44590
      1834     3349.08113391984                111.1               -43206
      1835      3349.1788856305                111.1               -40393
      1836     3349.27663734115                111.1               -38810
      1837     3349.37438905181                111.1               -40222
      1838     3349.47214076246                111.1               -44844
      1839     3349.56989247312                111.1               -49535
      1840     3349.66764418377                111.1               -48721
      1841     3349.76539589443                111.1               -48334
      1842     3349.86314760508                111.1               -48007
      1843     3349.96089931574                111.1               -47969
      1844     3350.05865102639                111.1               -40446
      1845     3350.15640273705                111.1               -47157
      1846      3350.2541544477                111.1               -49494
      1847     3350.35190615836                111.1               -41943
      1848     3350.44965786901                111.1               -35924
      1849     3350.54740957967                111.1               -40328
      1850     3350.64516129032                111.1               -41669
      1851     3350.74291300098                111.1               -47559
      1852     3350.84066471163                111.1               -47935
      1853     3350.93841642229                111.1               -44692
      1854     3351.03616813294                111.1               -39999
      1855      3351.1339198436                111.1               -42405
      1856     3351.23167155425                111.1               -39374
      1857     3351.32942326491                111.1               -39966
      1858     3351.42717497556                111.1               -43566
      1859     3351.52492668622                111.1               -40490
      1860     3351.62267839687                111.1               -36322
      1861     3351.72043010753                111.1               -38589
      1862     3351.81818181818                111.1               -37861
      1863     3351.91593352884                111.1               -43892
      1864     3352.01368523949                111.1               -41026
      1865     3352.11143695015                111.1               -37200
      1866      3352.2091886608                111.1               -43116
      1867     3352.30694037146                111.1               -42995
      1868     3352.40469208211                111.1               -32931
      1869     3352.50244379277                111.1               -41825
      1870     3352.60019550342                111.1               -42361
      1871     3352.69794721408                111.1               -47409
      1872     3352.79569892473                111.1               -46157
      1873     3352.89345063539                111.1               -41337
      1874     3352.99120234604                111.1               -38238
      1875      3353.0889540567                111.1               -41806
      1876     3353.18670576735                111.1               -35985
      1877     3353.28445747801                111.1               -38024
      1878     3353.38220918866                111.1               -41314
      1879     3353.47996089932                111.1               -38256
      1880     3353.57771260997                111.1               -38544
      1881     3353.67546432063                111.1               -46623
      1882     3353.77321603128                111.1               -39292
      1883     3353.87096774194                111.1               -32987
      1884     3353.96871945259                111.1               -35895
      1885     3354.06647116325                111.1               -36831
      1886      3354.1642228739                111.1               -40429
      1887     3354.26197458456                111.1               -43390
      1888     3354.35972629521                111.1               -35871
      1889     3354.45747800587                111.1               -38990
      1890     3354.55522971652                111.1               -40461
      1891     3354.65298142717                111.1               -41825
      1892     3354.75073313783                111.1               -42887
      1893     3354.84848484848                111.1               -38323
      1894     3354.94623655914                111.1               -37834
      1895     3355.04398826979                111.1               -45163
      1896     3355.14173998045                111.1               -36344
      1897      3355.2394916911                111.1               -36588
      1898     3355.33724340176                111.1               -33582
      1899     3355.43499511241                111.1               -33184
      1900     3355.53274682307                111.1               -35979
      1901     3355.63049853372                111.1               -40622
      1902     3355.72825024438                111.1               -33980
      1903     3355.82600195503                111.1               -34118
      1904     3355.92375366569                111.1               -39998
      1905     3356.02150537634                111.1               -37643
      1906       3356.119257087                111.1               -34993
      1907     3356.21700879765                111.1               -36771
      1908     3356.31476050831                111.1               -39507
      1909     3356.41251221896                111.1               -33916
      1910     3356.51026392962                111.1               -39915
      1911     3356.60801564027                111.1               -34214
      1912     3356.70576735093                111.1               -27004
      1913     3356.80351906158                111.1               -33605
      1914     3356.90127077224                111.1               -36518
      1915     3356.99902248289                111.1               -37974
      1916     3357.09677419355                111.1               -37274
      1917      3357.1945259042                111.1               -37786
      1918     3357.29227761486                111.1               -40325
      1919     3357.39002932551                111.1               -38505
      1920     3357.48778103617                111.1               -31284
      1921     3357.58553274682                111.1               -38663
      1922     3357.68328445748                111.1               -38746
      1923     3357.78103616813                111.1               -43885
      1924     3357.87878787879                111.1               -39108
      1925     3357.97653958944                111.1               -35921
      1926      3358.0742913001                111.1               -34525
      1927     3358.17204301075                111.1               -35079
      1928     3358.26979472141                111.1               -38690
      1929     3358.36754643206                111.1               -30904
      1930     3358.46529814272                111.1               -32485
      1931     3358.56304985337                111.1               -34683
      1932     3358.66080156403                111.1               -36429
      1933     3358.75855327468                111.1               -32465
      1934     3358.85630498534                111.1               -35142
      1935     3358.95405669599                111.1               -33589
      1936     3359.05180840665                111.1               -33638
      1937      3359.1495601173                111.1               -33220
      1938     3359.24731182796                111.1               -34465
      1939     3359.34506353861                111.1               -28562
      1940     3359.44281524927                111.1               -34623
      1941     3359.54056695992                111.1               -41265
      1942     3359.63831867058                111.1               -37908
      1943     3359.73607038123                111.1               -35227
      1944     3359.83382209189                111.1               -34815
      1945     3359.93157380254                111.1               -36414
      1946      3360.0293255132                111.1               -32097
      1947     3360.12707722385                111.1               -40332
      1948     3360.22482893451                111.1               -35915
      1949     3360.32258064516                111.1               -34016
      1950     3360.42033235582                111.1               -32926
      1951     3360.51808406647                111.1               -31677
      1952     3360.61583577713                111.1               -38973
      1953     3360.71358748778                111.1               -41841
      1954     3360.81133919844                111.1               -39239
      1955     3360.90909090909                111.1               -37064
      1956     3361.00684261975                111.1               -35526
      1957      3361.1045943304                111.1               -38770
      1958     3361.20234604106                111.1               -41541
      1959     3361.30009775171                111.1               -40110
      1960     3361.39784946237                111.1               -38370
      1961     3361.49560117302                111.1               -41822
      1962     3361.59335288368                111.1               -41455
      1963     3361.69110459433                111.1               -34824
      1964     3361.78885630499                111.1               -39410
      1965     3361.88660801564                111.1               -38616
      1966      3361.9843597263                111.1               -41298
      1967     3362.08211143695                111.1               -39731
      1968      3362.1798631476                111.1               -34167
      1969     3362.27761485826                111.1               -36464
      1970     3362.37536656892                111.1               -32514
      1971     3362.47311827957                111.1               -38089
      1972     3362.57086999022                111.1               -40043
      1973     3362.66862170088                111.1               -37942
      1974     3362.76637341153                111.1               -37198
      1975     3362.86412512219                111.1               -38191
      1976     3362.96187683284                111.1               -35890
      1977      3363.0596285435                111.1               -38424
      1978     3363.15738025415                111.1               -39757
      1979     3363.25513196481                111.1               -33823
      1980     3363.35288367546                111.1               -37497
      1981     3363.45063538612                111.1               -34634
      1982     3363.54838709677                111.1               -31475
      1983     3363.64613880743                111.1               -36049
      1984     3363.74389051808                111.1               -29458
      1985     3363.84164222874                111.1               -34043
